Time (milliseconds),Memory
1614271845927,131072
1614271846427,3973120
1614271846929,4853760
1614271847430,4853760
1614271847932,4853760
1614271848433,4853760
1614271848935,4853760
1614271849437,4853760
1614271849938,4853760
1614271850440,4853760
1614271850941,4853760
1614271851443,4853760
1614271851944,4853760
1614271852446,4853760
1614271852948,4853760
1614271853449,4853760
1614271853951,4853760
1614271854452,4853760
1614271854954,4853760
1614271855456,4853760
1614271855957,5111808
1614271856458,0
