Time (milliseconds),Memory
1614272408991,0
1614272409492,3366912
1614272409994,3731456
1614272410495,3727360
1614272410996,3719168
1614272411498,3719168
1614272412000,3719168
1614272412501,3719168
1614272413002,3719168
1614272413503,3719168
1614272414005,3719168
1614272414506,3719168
1614272415008,3719168
1614272415510,3719168
1614272416010,3719168
1614272416512,3719168
1614272417013,3719168
1614272417515,3719168
1614272418016,3719168
1614272418518,3719168
1614272419019,3842048
1614272419520,3653632
1614272420021,0
