timestamp,value
1615554895924,64
1615554896920,125
1615554897920,144
1615554898923,68
1615554899930,82
1615554900922,78
1615554901923,88
1615554902921,84
1615554903921,88
1615554904921,90
1615554905922,92
1615554906920,90
1615554907923,94
1615554908920,94
1615554909920,92
1615554910921,92
1615554911923,96
1615554912921,93
1615554913920,92
1615554914921,92
1615554915920,92
1615554916920,92
1615554917922,90
1615554918920,94
1615554919920,94
1615554920920,94
1615554921921,94
1615554922920,92
1615554923921,93
1615554924921,92
1615554925920,92
1615554926921,92
1615554927922,95
1615554928923,94
1615554929923,95
1615554930922,94
1615554931920,94
1615554932921,94
1615554933921,95
1615554934922,94
1615554935922,92
1615554936922,92
1615554937928,99
1615554938922,92
1615554939922,95
1615554940924,100
1615554941920,94
1615554942920,94
1615554943924,99
1615554944923,95
1615554945921,94
1615554946920,94
1615554947922,96
1615554948921,93
1615554949921,92
1615554950920,92
1615554951926,96
1615554952921,94
1615554953923,94
1615554954920,94
1615554955922,94
1615554956921,95
1615554957921,94
1615554958922,94
1615554959920,94
1615554960923,94
1615554961922,95
1615554962920,94
1615554963924,96
1615554964920,94
1615554965924,97
1615554966922,94
1615554967921,94
1615554968921,94
1615554969921,94
1615554970920,94
1615554971922,94
1615554972921,94
1615554973925,101
1615554974921,94
1615554975920,94
1615554976922,94
1615554977920,94
1615554978921,94
1615554979924,98
1615554980920,94
1615554981921,94
1615554982921,94
1615554983921,94
1615554984921,94
1615554985935,112
1615554986921,94
1615554987921,94
1615554988920,94
1615554989922,94
1615554990921,94
1615554991927,104
1615554992922,94
1615554993921,94
1615554994922,99
1615554995923,99
1615554996921,94
1615554997921,94
1615554998921,94
1615554999922,98
1615555000920,94
1615555001922,94
1615555002921,94
1615555003927,105
1615555004920,94
1615555005921,94
1615555006921,95
1615555007920,94
1615555008921,94
1615555009922,94
1615555010920,94
1615555011922,95
1615555012922,97
1615555013921,94
1615555014921,94
1615555015926,103
1615555016921,96
1615555017920,94
1615555018920,94
1615555019921,94
1615555020920,94
1615555021922,94
1615555022921,94
1615555023924,100
1615555024920,94
1615555025921,96
1615555026922,95
1615555027921,94
1615555028921,94
1615555029920,94
1615555030922,94
1615555031921,94
1615555032920,94
1615555033924,96
1615555034920,94
1615555035921,94
1615555036921,94
1615555037920,94
1615555038920,94
1615555039921,94
1615555040922,94
1615555041921,94
1615555042922,95
1615555043921,94
1615555044920,94
1615555045929,111
1615555046921,94
1615555047921,95
1615555048921,95
1615555049920,94
1615555050922,95
1615555051922,94
1615555052921,94
1615555053922,94
1615555054920,94
1615555055922,94
1615555056921,94
1615555057922,97
1615555058920,94
1615555059921,94
1615555060922,94
1615555061922,95
1615555062921,95
1615555063923,97
1615555064922,94
1615555065924,100
1615555066924,99
1615555067920,94
1615555068921,94
1615555069920,94
1615555070920,94
1615555071924,95
1615555072922,96
1615555073920,94
1615555074920,94
1615555075930,118
1615555076922,95
1615555077923,96
1615555078921,94
1615555079920,94
1615555080921,94
1615555081922,95
1615555082920,94
1615555083921,94
1615555084923,94
1615555085920,94
1615555086920,94
1615555087926,105
1615555088921,94
1615555089922,94
1615555090920,94
1615555091920,94
1615555092921,94
1615555093922,97
1615555094921,94
1615555095920,94
1615555096921,94
1615555097920,94
1615555098922,94
1615555099921,95
1615555100922,94
1615555101922,94
1615555102921,94
1615555103922,97
1615555104922,94
1615555105926,106
1615555106920,94
1615555107920,94
1615555108921,94
1615555109920,94
1615555110920,94
1615555111923,100
1615555112921,94
1615555113920,94
1615555114921,94
1615555115927,110
1615555116924,97
1615555117921,94
1615555118922,95
1615555119920,94
1615555120922,94
1615555121922,95
1615555122921,95
1615555123922,94
1615555124921,94
1615555125923,94
1615555126920,94
1615555127921,94
1615555128924,102
1615555129922,94
1615555130922,94
1615555131921,94
1615555132920,94
1615555133923,96
1615555134920,94
1615555135925,99
1615555136920,94
1615555137921,94
1615555138922,94
1615555139923,97
1615555140923,95
1615555141921,94
1615555142921,94
1615555143920,94
1615555144921,95
1615555145921,94
1615555146920,94
1615555147923,96
1615555148921,95
1615555149922,96
1615555150921,94
1615555151922,96
1615555152920,94
1615555153921,94
1615555154922,94
1615555155921,94
1615555156922,95
1615555157922,94
1615555158920,94
1615555159924,94
1615555160920,94
1615555161922,94
1615555162920,94
1615555163922,94
1615555164923,94
1615555165920,94
1615555166920,94
1615555167922,96
1615555168926,95
1615555169921,94
1615555170921,96
1615555171920,94
1615555172923,95
1615555173922,94
1615555174922,95
1615555175925,102
1615555176921,94
1615555177923,95
1615555178921,94
1615555179920,94
1615555180921,94
1615555181921,94
1615555182920,94
1615555183922,97
1615555184921,95
1615555185920,94
1615555186922,94
1615555187920,94
1615555188920,94
1615555189922,99
1615555190923,97
1615555191920,94
1615555192921,94
1615555193920,94
1615555194924,96
1615555195924,101
1615555196922,94
1615555197922,95
1615555198921,94
1615555199920,94
1615555200922,94
1615555201922,94
1615555202921,94
1615555203925,99
1615555204921,95
1615555205920,94
1615555206922,94
1615555207929,110
1615555208922,95
1615555209920,94
1615555210927,100
1615555211921,94
1615555212922,95
1615555213921,94
1615555214922,94
1615555215924,98
1615555216921,94
1615555217921,95
1615555218921,94
1615555219923,98
1615555220923,94
1615555221921,94
1615555222922,95
1615555223921,94
1615555224921,94
1615555225922,94
1615555226920,94
1615555227921,94
1615555228921,94
1615555229921,94
1615555230920,94
1615555231927,94
1615555232921,94
1615555233922,96
1615555234921,94
1615555235921,94
1615555236921,94
1615555237922,97
1615555238920,94
1615555239924,98
1615555240922,95
1615555241921,94
1615555242920,94
1615555243923,100
1615555244920,94
1615555245920,94
1615555246922,96
1615555247920,94
1615555248922,95
1615555249923,97
1615555250922,95
1615555251920,94
1615555252921,94
1615555253921,94
1615555254922,94
1615555255928,116
1615555256921,95
1615555257920,94
1615555258922,95
1615555259922,94
1615555260920,94
1615555261921,96
1615555262921,94
1615555263921,94
1615555264921,94
1615555265922,95
1615555266921,94
1615555267926,102
1615555268920,94
1615555269922,94
1615555270925,99
1615555271921,94
1615555272921,94
1615555273921,95
1615555274920,94
1615555275922,94
1615555276921,94
1615555277921,94
1615555278921,94
1615555279925,100
1615555280921,94
1615555281922,94
1615555282922,95
1615555283922,94
1615555284921,94
1615555285923,97
1615555286920,94
1615555287921,94
1615555288923,95
1615555289920,94
1615555290923,94
1615555291926,101
1615555292921,94
1615555293921,94
1615555294921,94
1615555295921,94
1615555296921,94
1615555297921,94
1615555298920,94
1615555299920,94
1615555300924,95
1615555301921,94
1615555302923,96
1615555303922,95
1615555304922,94
1615555305920,94
1615555306921,94
1615555307921,95
1615555308921,94
1615555309922,94
1615555310922,96
1615555311920,94
1615555312923,96
1615555313922,94
1615555314921,94
1615555315925,109
1615555316920,94
1615555317921,94
1615555318922,97
1615555319920,94
1615555320922,96
1615555321922,94
1615555322920,94
1615555323921,94
1615555324922,94
1615555325924,94
1615555326921,94
1615555327925,101
1615555328921,95
1615555329920,94
1615555330924,98
1615555331921,94
1615555332921,94
1615555333923,98
1615555334925,101
1615555335920,94
1615555336922,94
1615555337920,94
1615555338920,94
1615555339923,96
1615555340921,94
1615555341921,94
1615555342920,94
1615555343922,98
1615555344920,94
1615555345923,100
1615555346922,94
1615555347920,94
1615555348922,96
1615555349923,96
1615555350920,94
1615555351927,110
1615555352921,94
1615555353921,94
1615555354923,94
1615555355921,94
1615555356921,94
1615555357921,94
1615555358920,94
1615555359922,97
1615555360921,94
1615555361921,94
1615555362921,94
1615555363920,94
1615555364923,94
1615555365924,99
1615555366921,94
1615555367922,98
1615555368921,94
1615555369920,94
1615555370922,94
1615555371923,97
1615555372920,94
1615555373921,94
1615555374921,94
1615555375929,111
1615555376920,94
1615555377921,94
1615555378921,95
1615555379920,94
1615555380921,94
1615555381922,99
1615555382921,94
1615555383921,94
1615555384921,94
1615555385921,94
1615555386921,94
1615555387921,94
1615555388921,95
1615555389921,94
1615555390921,94
1615555391922,95
1615555392920,94
1615555393922,94
1615555394921,94
1615555395922,97
1615555396921,94
1615555397921,94
1615555398921,95
1615555399921,94
1615555400921,94
1615555401921,95
1615555402921,94
1615555403921,94
1615555404920,94
1615555405928,112
1615555406921,94
1615555407922,95
1615555408921,97
1615555409920,94
1615555410921,94
1615555411921,94
1615555412921,94
1615555413921,94
1615555414921,94
1615555415923,96
1615555416922,95
1615555417920,94
1615555418920,94
1615555419922,96
1615555420922,94
1615555421921,94
1615555422921,94
1615555423923,101
1615555424923,94
1615555425921,94
1615555426925,99
1615555427920,94
1615555428920,94
1615555429922,97
1615555430921,94
1615555431920,94
1615555432921,94
1615555433921,94
1615555434920,94
1615555435931,102
1615555436921,94
1615555437921,94
1615555438921,94
1615555439921,94
1615555440922,95
1615555441922,95
1615555442921,94
1615555443920,94
1615555444921,94
1615555445921,94
1615555446921,94
1615555447921,95
1615555448921,94
1615555449921,95
1615555450923,94
1615555451922,95
1615555452921,94
1615555453921,95
1615555454924,96
1615555455922,94
1615555456922,95
1615555457921,95
1615555458921,94
1615555459925,102
1615555460921,94
1615555461921,94
1615555462922,96
1615555463920,94
1615555464921,94
1615555465922,100
1615555466921,94
1615555467923,98
1615555468921,96
1615555469920,94
1615555470921,94
1615555471923,99
1615555472921,94
1615555473923,95
1615555474921,94
1615555475921,94
1615555476921,94
1615555477921,95
1615555478922,94
1615555479921,94
1615555480923,94
1615555481920,94
1615555482920,94
1615555483923,94
1615555484920,94
1615555485922,94
1615555486922,95
1615555487921,94
1615555488922,95
1615555489920,94
1615555490921,94
1615555491923,95
1615555492923,96
1615555493921,94
1615555494922,94
1615555495921,94
1615555496921,94
1615555497922,98
1615555498920,94
1615555499921,94
1615555500921,95
1615555501921,94
1615555502922,95
1615555503922,95
1615555504923,98
1615555505920,94
1615555506925,99
1615555507922,94
1615555508920,94
1615555509923,94
1615555510922,94
1615555511922,94
1615555512922,94
1615555513921,94
1615555514920,94
1615555515920,94
