Time (milliseconds),Memory
1614338054089,28672
1614338054589,3702784
1614338055091,4063232
1614338055593,4063232
1614338056095,4063232
1614338056596,4063232
1614338057098,4063232
1614338057599,4063232
1614338058101,4063232
1614338058602,4063232
1614338059104,4063232
1614338059605,4063232
1614338060107,4063232
1614338060608,4063232
1614338061110,4063232
1614338061611,4063232
1614338062113,4063232
1614338062614,4063232
1614338063116,4063232
1614338063617,4063232
1614338064119,4108288
1614338064621,4034560
1614338065121,0
