timestamp,value
1616520310479,50
1616520311476,103
1616520312477,52
1616520313477,58
1616520314476,60
1616520315476,66
1616520316478,70
1616520317477,75
1616520318476,78
1616520319476,80
1616520320476,80
1616520321478,82
1616520322476,80
1616520323477,80
1616520324477,80
1616520325477,82
1616520326477,80
1616520327476,80
1616520328478,85
1616520329477,80
1616520330478,83
1616520331478,80
1616520332476,80
1616520333476,80
1616520334477,80
1616520335476,80
1616520336477,80
1616520337479,80
1616520338478,80
1616520339476,80
1616520340478,80
1616520341477,80
1616520342476,80
1616520343476,80
1616520344476,80
1616520345477,80
1616520346478,80
1616520347476,80
1616520348477,80
1616520349477,80
1616520350477,80
1616520351477,81
1616520352476,80
1616520353477,80
1616520354477,80
1616520355476,80
1616520356478,80
1616520357477,80
1616520358478,80
1616520359477,82
1616520360477,80
1616520361477,80
1616520362477,81
1616520363477,80
1616520364478,86
1616520365476,80
1616520366477,80
1616520367478,80
1616520368478,81
1616520369478,80
1616520370476,80
1616520371477,80
1616520372476,80
1616520373476,80
1616520374478,86
1616520375476,80
1616520376477,81
1616520377477,80
1616520378476,80
1616520379476,80
1616520380479,86
1616520381478,80
1616520382477,81
1616520383476,80
1616520384476,80
1616520385478,82
1616520386477,83
1616520387476,80
1616520388477,80
1616520389476,80
1616520390476,80
1616520391481,85
1616520392476,80
1616520393476,80
1616520394477,80
1616520395476,80
1616520396477,80
1616520397477,80
1616520398477,80
1616520399476,80
1616520400479,80
1616520401478,82
1616520402478,83
1616520403477,80
1616520404476,80
1616520405476,80
1616520406477,80
1616520407476,80
1616520408477,80
1616520409477,80
1616520410477,80
1616520411477,80
1616520412477,80
1616520413477,81
1616520414476,80
1616520415478,83
1616520416477,80
1616520417476,80
1616520418476,80
1616520419477,80
1616520420477,80
1616520421476,80
1616520422477,80
1616520423477,80
1616520424477,80
1616520425476,80
1616520426477,80
1616520427477,80
1616520428477,80
1616520429477,80
1616520430476,80
1616520431477,80
1616520432477,80
1616520433476,80
1616520434476,80
1616520435477,80
1616520436476,80
1616520437476,80
1616520438479,86
1616520439476,80
1616520440477,83
1616520441477,80
1616520442479,82
1616520443477,80
1616520444477,80
1616520445476,80
1616520446477,80
1616520447478,81
1616520448477,80
1616520449477,80
1616520450478,80
1616520451476,80
1616520452477,80
1616520453477,80
1616520454477,80
1616520455476,80
1616520456477,81
1616520457477,80
1616520458476,80
1616520459476,80
1616520460479,82
1616520461476,80
1616520462477,80
1616520463477,80
1616520464477,80
1616520465477,82
1616520466479,80
1616520467476,80
1616520468476,80
1616520469478,80
1616520470476,80
1616520471477,80
1616520472477,80
1616520473476,80
1616520474477,80
1616520475477,80
1616520476477,80
1616520477477,80
1616520478476,80
1616520479476,80
1616520480477,80
1616520481476,80
1616520482477,80
1616520483476,80
1616520484476,80
1616520485478,80
1616520486477,80
1616520487476,80
1616520488477,80
1616520489476,80
1616520490476,80
1616520491476,80
1616520492478,82
1616520493476,80
1616520494477,80
1616520495478,83
1616520496476,80
1616520497476,80
1616520498478,83
1616520499478,80
1616520500476,80
1616520501477,81
1616520502477,80
1616520503477,80
1616520504476,80
1616520505479,80
1616520506476,80
1616520507476,80
1616520508478,84
1616520509477,80
1616520510476,80
1616520511477,82
1616520512476,80
1616520513477,80
1616520514477,80
1616520515476,80
1616520516476,80
1616520517477,80
1616520518477,80
1616520519476,80
1616520520478,81
1616520521476,80
1616520522476,80
1616520523476,80
1616520524477,80
1616520525477,83
1616520526476,80
1616520527476,80
1616520528476,80
1616520529479,80
1616520530478,84
1616520531477,80
1616520532477,80
1616520533476,80
1616520534477,80
1616520535477,80
1616520536476,80
1616520537476,80
1616520538476,80
1616520539476,80
1616520540476,80
1616520541477,80
1616520542477,82
1616520543476,80
1616520544477,81
1616520545476,80
1616520546477,80
1616520547477,80
1616520548478,81
1616520549477,80
1616520550477,80
1616520551476,80
1616520552477,80
1616520553476,80
1616520554478,80
1616520555477,81
1616520556476,80
1616520557476,80
1616520558477,85
1616520559476,80
1616520560476,80
1616520561476,80
1616520562476,80
1616520563476,80
1616520564477,80
1616520565476,80
1616520566477,83
1616520567477,80
1616520568476,80
1616520569477,80
1616520570479,88
1616520571477,80
1616520572477,80
1616520573476,80
1616520574476,80
1616520575477,80
1616520576478,84
1616520577476,80
1616520578477,80
1616520579476,80
1616520580477,81
1616520581477,80
1616520582477,80
1616520583479,83
1616520584476,80
1616520585476,80
1616520586478,82
1616520587477,81
1616520588478,82
1616520589477,80
1616520590479,86
1616520591477,80
1616520592478,84
1616520593476,80
1616520594477,80
1616520595479,84
1616520596477,80
1616520597479,82
1616520598476,80
1616520599476,80
1616520600477,84
1616520601476,80
1616520602479,81
1616520603478,81
1616520604476,80
1616520605477,80
1616520606480,85
1616520607476,80
1616520608476,80
1616520609476,80
1616520610476,80
1616520611477,80
1616520612478,82
1616520613477,80
1616520614478,85
1616520615476,80
1616520616476,80
1616520617476,80
1616520618477,81
1616520619477,80
1616520620478,86
1616520621476,80
1616520622476,80
1616520623477,80
1616520624476,80
1616520625476,80
1616520626477,80
1616520627477,81
1616520628477,80
1616520629477,80
1616520630477,80
1616520631477,82
1616520632477,80
1616520633476,80
1616520634477,80
1616520635477,80
1616520636476,80
1616520637476,80
1616520638477,81
1616520639476,80
1616520640478,82
1616520641476,80
1616520642477,80
1616520643477,80
1616520644477,80
1616520645476,80
1616520646477,80
1616520647476,80
1616520648476,80
1616520649476,80
1616520650478,80
1616520651477,80
1616520652477,80
1616520653477,80
1616520654476,80
1616520655477,80
1616520656478,81
1616520657476,80
1616520658479,85
1616520659477,80
1616520660477,81
1616520661478,82
1616520662476,80
1616520663478,81
1616520664479,82
1616520665476,80
1616520666477,81
1616520667476,80
1616520668478,82
1616520669476,80
1616520670478,80
1616520671477,80
1616520672477,80
1616520673476,80
1616520674477,80
1616520675478,82
1616520676476,80
1616520677477,80
1616520678477,84
1616520679476,80
1616520680478,84
1616520681477,80
1616520682476,80
1616520683476,80
1616520684477,80
1616520685477,80
1616520686480,80
1616520687478,82
1616520688476,80
1616520689476,80
1616520690478,80
1616520691476,80
1616520692476,80
1616520693476,80
1616520694476,80
1616520695480,83
1616520696476,80
1616520697479,82
1616520698478,83
1616520699476,80
1616520700477,82
1616520701477,80
1616520702477,80
1616520703477,82
1616520704476,80
1616520705477,82
1616520706477,80
1616520707478,81
1616520708477,80
1616520709476,80
1616520710478,80
1616520711477,80
1616520712477,80
1616520713476,80
1616520714476,80
1616520715478,80
1616520716476,80
1616520717478,82
1616520718477,80
1616520719476,80
1616520720477,80
1616520721477,80
1616520722477,80
1616520723477,80
1616520724478,84
1616520725476,80
1616520726478,82
1616520727477,82
1616520728476,80
1616520729476,80
1616520730483,82
1616520731476,80
1616520732478,82
1616520733478,85
1616520734477,80
1616520735477,80
1616520736478,84
1616520737476,80
1616520738477,80
1616520739478,84
1616520740476,80
1616520741476,80
1616520742479,82
1616520743479,81
1616520744476,80
1616520745477,80
1616520746477,82
1616520747476,80
1616520748476,80
1616520749477,80
1616520750478,82
1616520751476,80
1616520752477,80
1616520753477,81
1616520754476,80
1616520755477,80
1616520756478,82
1616520757477,80
1616520758478,80
1616520759477,81
1616520760476,80
1616520761476,80
1616520762476,80
1616520763476,80
1616520764477,80
1616520765477,80
1616520766476,80
1616520767476,80
1616520768476,80
1616520769476,80
1616520770478,84
1616520771477,80
1616520772476,80
1616520773477,80
1616520774479,86
1616520775477,80
1616520776477,80
1616520777477,80
1616520778476,80
1616520779476,80
1616520780478,80
1616520781476,80
1616520782478,81
1616520783477,80
1616520784476,80
1616520785477,80
1616520786480,83
1616520787476,80
1616520788477,80
1616520789477,80
1616520790477,80
1616520791477,80
1616520792476,80
1616520793476,80
1616520794478,81
1616520795478,83
1616520796477,80
1616520797477,80
1616520798477,81
1616520799476,80
1616520800477,80
1616520801477,81
1616520802476,80
1616520803477,80
1616520804477,81
1616520805476,80
1616520806479,86
1616520807477,80
1616520808477,80
1616520809476,80
1616520810478,87
1616520811476,80
1616520812477,80
1616520813476,80
1616520814477,80
1616520815478,80
1616520816476,80
1616520817477,80
1616520818478,82
1616520819477,81
1616520820480,80
1616520821477,80
1616520822477,82
1616520823479,85
1616520824478,82
1616520825477,80
1616520826478,83
1616520827476,80
1616520828477,80
1616520829478,82
1616520830478,81
1616520831476,80
1616520832477,80
1616520833477,80
1616520834476,80
1616520835478,82
1616520836477,80
1616520837476,80
1616520838479,86
1616520839476,80
1616520840476,80
1616520841476,80
1616520842477,82
1616520843476,80
1616520844477,81
1616520845478,80
1616520846477,80
1616520847477,80
1616520848477,80
1616520849476,80
1616520850477,80
1616520851477,81
1616520852476,80
1616520853476,80
1616520854478,80
1616520855477,80
1616520856476,80
1616520857477,81
1616520858477,80
1616520859476,80
1616520860477,80
1616520861476,80
1616520862477,80
1616520863476,80
1616520864476,80
1616520865476,80
1616520866480,82
