Time (milliseconds),files_open
5,26
1001,24
2001,24
3001,24
4003,24
5002,24
6001,24
7001,24
8002,24
9001,24
10001,24
11002,24
12002,24
13003,24
14001,24
15001,24
16002,24
17001,24
18001,24
19001,24
20001,24
21003,24
22001,24
23001,24
24001,24
25001,24
26001,24
27003,24
28001,24
29001,24
30001,24
31001,24
32003,24
33001,24
34002,24
35001,24
36002,24
37003,24
38001,24
39002,24
40001,24
41001,24
42001,24
43001,24
44001,24
45002,24
46001,24
47002,24
48001,24
49001,24
50001,24
51001,24
52003,24
53001,24
54001,24
55003,24
56001,24
57001,24
58001,24
59001,24
60001,24
61002,24
62001,24
63001,24
64001,24
65001,24
66001,24
67001,24
68002,24
69002,24
70002,24
71003,24
72001,24
73001,24
74001,24
75001,24
76001,24
77001,24
78002,24
79001,24
80001,24
81001,24
82002,24
83001,24
84001,24
85001,24
86001,24
87001,24
88001,24
89001,24
90001,24
91001,24
92001,24
93001,24
94002,24
95001,24
96001,24
97001,24
98001,24
99001,24
100001,24
101001,24
102001,24
103001,24
104001,24
105001,24
106001,24
107001,24
108001,24
109001,24
110001,24
111001,24
112002,24
113001,24
114001,24
115001,24
116001,24
117001,24
118001,24
119001,24
120002,24
121001,24
122001,24
123001,24
124001,24
125001,24
126002,24
127002,24
128002,24
129001,24
130001,24
131003,24
132001,24
133001,24
134001,24
135001,24
136001,24
137001,24
138001,24
139001,24
140001,24
141001,24
142001,24
143001,24
144001,24
145002,24
146001,24
147001,24
148001,24
149001,24
150001,24
151001,24
152002,24
153001,24
154001,24
155001,24
156002,24
157002,24
158001,24
159001,24
160001,24
161001,24
162001,24
163001,24
164001,24
165001,24
166002,24
167001,24
168003,24
169001,24
170001,24
171001,24
172002,24
173001,24
174001,24
175001,24
176001,24
177002,24
178002,24
179001,24
180001,24
181001,24
182001,24
183001,24
184002,24
185001,24
186001,24
187002,24
188001,24
189001,24
190001,24
191001,24
192002,24
193001,24
194001,24
195001,24
196001,24
197001,24
198001,24
199003,24
200001,24
201001,24
202001,24
203001,24
204001,24
205001,24
206001,24
207002,24
208001,24
209001,24
210001,24
211001,24
212001,24
213001,24
214001,24
215001,24
216002,24
217002,24
218001,24
219001,24
220001,24
221001,24
222002,24
223002,24
224003,24
225001,24
226001,24
227001,24
228001,24
229001,24
230001,24
231001,24
232001,24
233001,24
234002,24
235001,24
236001,24
237001,24
238001,24
239001,24
240001,24
241002,24
242001,24
243001,24
244002,24
245001,24
246001,24
247001,24
248001,24
249001,24
250001,24
251001,24
252001,24
253002,24
254002,24
255001,24
256001,24
257001,24
258001,24
259001,24
260001,24
261001,24
262001,24
263001,24
264001,24
265001,24
266002,24
267001,24
268001,24
269001,24
270001,24
271001,24
272002,24
273003,24
274001,24
275001,24
276001,24
277002,24
278001,24
279001,24
280001,24
281001,24
282001,24
283001,24
284002,24
285003,24
286001,24
287001,24
288001,24
289002,24
290001,24
291001,24
292001,24
293001,24
294001,24
295001,24
296002,24
297001,24
298001,24
299001,24
300001,24
301001,24
302001,24
303001,24
304002,24
305001,24
306001,24
307001,24
308001,24
309001,24
310002,24
311001,24
312002,24
313001,24
314001,24
315001,24
316001,24
317001,24
318002,24
319001,24
320001,24
321001,24
322001,24
323001,24
324001,24
325001,24
326001,24
327002,24
328002,24
329001,24
330001,24
331001,24
332002,24
333003,24
334001,24
335001,24
336001,24
337001,24
338001,24
339001,24
340001,24
341001,24
342001,24
343001,24
344001,24
345001,24
346001,24
347002,24
348001,24
349001,24
350001,24
351001,24
352001,24
353001,24
354002,24
355001,24
356001,24
357001,24
358001,24
359001,24
360001,24
361001,24
362001,24
363001,24
364001,24
365001,24
366001,24
367001,24
368001,24
369001,24
370001,24
371002,24
372001,24
373001,24
374001,24
375001,24
376001,24
377001,24
378001,24
379001,24
380001,24
381001,24
382001,24
383001,24
384001,24
385001,24
386001,24
387002,24
388002,24
389002,24
390002,24
391001,24
392001,24
393001,24
394001,24
395001,24
396001,24
397001,24
398001,24
399001,24
400001,24
401001,24
402001,24
403002,24
404001,24
405001,24
406001,24
407001,24
408001,24
409001,24
410001,24
411001,24
412001,24
413001,24
414001,24
415002,24
416001,24
417001,24
418001,24
419001,24
420002,24
421001,24
422002,24
423001,24
424001,24
425001,24
426001,24
427001,24
428002,24
429001,24
430002,24
431001,24
432001,24
433001,24
434001,24
435001,24
436001,24
437001,24
438001,24
439001,24
440001,24
441001,24
442001,24
443003,24
444001,24
445001,24
446001,24
447002,24
448001,24
449001,24
450002,24
451002,24
452001,24
453001,24
454002,24
455001,24
456001,24
457001,24
458001,24
459001,24
460001,24
461001,24
462001,24
463003,24
464001,24
465001,24
466001,24
467002,24
468003,24
469001,24
470002,24
471002,24
472002,24
473001,24
474001,24
475002,24
476001,24
477001,24
478001,24
479002,24
480001,24
481001,24
482001,24
483001,24
484002,24
485001,24
486001,24
487001,24
488001,24
489001,24
490001,24
