Time (milliseconds),Memory
1614278688949,421888
1614278689450,3305472
1614278689952,3731456
1614278690454,3731456
1614278690955,3731456
1614278691457,3731456
1614278691958,3731456
1614278692459,3731456
1614278692961,3731456
1614278693462,3731456
1614278693963,3731456
1614278694465,3731456
1614278694966,3731456
1614278695468,3731456
1614278695970,3731456
1614278696471,3731456
1614278696972,3731456
1614278697474,3731456
1614278697975,3731456
1614278698476,3731456
1614278698977,3854336
1614278699479,3735552
1614278699979,0
