Time (milliseconds),Memory
1614277206470,131072
1614277206971,3604480
1614277207472,4366336
1614277207974,4366336
1614277208474,4366336
1614277208976,4366336
1614277209477,4366336
1614277209979,4366336
1614277210480,4366336
1614277210981,4366336
1614277211483,4366336
1614277211984,4366336
1614277212486,4366336
1614277212988,4366336
1614277213489,4366336
1614277213991,4366336
1614277214492,4366336
1614277214994,4366336
1614277215495,4366336
1614277215997,4366336
1614277216498,4411392
1614277216999,0
