Time (milliseconds),memory
10,165326848
1003,172675072
2002,172675072
3003,172675072
4003,172675072
5003,172675072
6003,172675072
7003,172675072
8003,172675072
9002,172675072
10003,172675072
11002,172204032
12003,172204032
13002,172204032
14003,172204032
15002,172204032
16003,172204032
17002,172204032
18003,172204032
19003,172204032
20003,172204032
21003,172204032
22003,172204032
23002,172204032
24003,172204032
25003,172204032
26003,172204032
27002,172204032
28003,172204032
29002,172204032
30002,172204032
31002,173744128
32002,173527040
33003,173527040
34003,173527040
35003,173445120
36002,173445120
37003,173445120
38003,173445120
39002,173445120
40002,173445120
41003,173428736
42002,173428736
43003,173428736
44002,173428736
45003,173428736
46002,173428736
47003,173428736
48002,173428736
49002,173428736
50002,173428736
51002,173428736
52003,173428736
53003,173428736
54002,173428736
55003,173428736
56003,173428736
57003,173428736
58002,173428736
59001,173428736
60003,173428736
61002,173428736
62003,173428736
63003,173428736
64003,173428736
65003,173428736
66003,173428736
67003,173428736
68003,173428736
69003,173428736
70003,173428736
71002,173428736
72003,173428736
73002,173428736
74003,173428736
75003,173428736
76003,173428736
77003,173428736
78002,173428736
79001,173428736
80003,173428736
81003,173428736
82002,173428736
83003,173428736
84003,173428736
85003,173428736
86003,173428736
87002,173428736
88002,173428736
89003,173428736
90002,173428736
91002,173428736
92002,173428736
93003,173428736
94002,173428736
95003,173428736
96003,173428736
97003,173428736
98003,173428736
99003,173428736
100003,173428736
101002,173428736
102002,173428736
103003,173428736
104003,173428736
105003,173428736
106003,173428736
107003,173428736
108003,173428736
109002,173428736
110003,173428736
111002,173428736
112003,173428736
113003,173428736
114003,173428736
115002,173428736
116003,173428736
117003,173428736
118003,173428736
119002,173428736
120004,173428736
121002,173428736
122003,173428736
123003,173428736
124003,173428736
125002,173428736
126003,173428736
127003,173428736
128002,173428736
129002,173428736
130002,173428736
131003,173428736
132002,173428736
133003,173428736
134003,173428736
135003,173428736
136002,173428736
137002,173428736
138002,173428736
139002,173428736
140003,173428736
141003,173428736
142002,173428736
143003,173428736
144003,173428736
145003,173428736
146002,173428736
147002,173428736
148002,173428736
149002,173428736
150003,173428736
151003,173428736
152003,173428736
153002,173428736
154003,173428736
155003,173428736
156003,173428736
157002,173428736
158003,173428736
159002,173428736
160003,173428736
