Time (milliseconds),Memory
1614349774053,299008
1614349774555,4177920
1614349775056,4587520
1614349775558,4587520
1614349776059,4587520
1614349776561,4587520
1614349777062,4587520
1614349777564,4587520
1614349778065,4587520
1614349778566,4587520
1614349779068,4587520
1614349779569,4587520
1614349780071,4587520
1614349780572,4587520
1614349781074,4587520
1614349781575,4587520
1614349782077,4587520
1614349782578,4587520
1614349783080,4587520
1614349783582,4587520
1614349784083,4710400
1614349784584,0
