timestamp,value
1615300967774,176332800
1615300968775,188870656
1615300969774,188870656
1615300970774,188764160
1615300971773,188764160
1615300972774,188764160
1615300973774,188764160
1615300974775,188764160
1615300975774,188764160
1615300976774,188764160
1615300977775,188764160
1615300978774,188076032
1615300979774,188076032
1615300980774,188076032
1615300981775,188076032
1615300982774,188076032
1615300983775,188076032
1615300984774,188076032
1615300985774,188076032
1615300986774,188076032
1615300987774,188076032
1615300988774,188076032
1615300989774,188076032
1615300990774,188076032
1615300991774,188076032
1615300992775,188076032
1615300993774,188076032
1615300994774,188076032
1615300995774,188076032
1615300996773,180883456
